num_units,nodes,relations,words,nodes per word,rels per word
1,42.0,47.0,333.25,0.12060741828499598,0.13947257456125212
2,25.0,26.25,333.25,0.07452322771840574,0.07792369141650199
3,18.0,18.75,333.25,0.05099013543018049,0.05122446656099369
4,17.5,15.25,333.25,0.049562076137372776,0.046198847437821204
5,12.25,12.5,333.25,0.03468611943471005,0.034273453336605565
6,11.0,11.75,333.25,0.030439623676451505,0.03255312805048664
7,11.5,11.25,333.25,0.032778685025693755,0.03120649484209568
8,10.0,10.25,333.25,0.029750174383493602,0.030517045549137777
9,8.75,10.0,333.25,0.023912001431448712,0.025181212767153408
10,8.5,9.25,333.25,0.02353830935372076,0.024060136533969552
11,8.25,9.25,333.25,0.02316461727599281,0.024060136533969552
12,8.0,9.0,333.25,0.022790925198264856,0.0236864444562416
13,7.0,7.75,333.25,0.02129615688735305,0.02181798406760184
14,7.0,8.25,333.25,0.02090297779943683,0.02256536822305774
15,6.0,7.0,333.25,0.018621851312692582,0.019517370570669327
16,6.25,7.0,333.25,0.018995543390420533,0.019517370570669327
17,6.25,7.25,333.25,0.018995543390420533,0.019891062648397278
18,6.25,7.25,333.25,0.018995543390420533,0.019891062648397278
19,6.5,7.0,333.25,0.019369235468148484,0.019517370570669327
20,6.5,7.25,333.25,0.019369235468148484,0.019891062648397278
